     Angle,       PSD,
   35.3096,       594,
   35.3594,       594,
   35.4093,       628,
   35.4592,       598,
    35.509,       594,
   35.5589,       638,
   35.6088,       591,
   35.6586,       622,
   35.7085,       601,
   35.7584,       571,
   35.8083,       604,
   35.8581,       574,
    35.908,       584,
   35.9579,       584,
   36.0077,       591,
   36.0576,       579,
   36.1075,       581,
   36.1573,       574,
   36.2072,       571,
   36.2571,       572,
   36.3069,       596,
   36.3568,       513,
   36.4067,       579,
   36.4565,       621,
   36.5064,       568,
   36.5563,       544,
   36.6061,       531,
    36.656,       576,
   36.7059,       551,
   36.7557,       550,
   36.8056,       572,
   36.8555,       571,
   36.9054,       549,
   36.9552,       549,
   37.0051,       555,
    37.055,       549,
   37.1048,       508,
   37.1547,       581,
   37.2046,       509,
   37.2544,       520,
   37.3043,       541,
   37.3542,       542,
    37.404,       523,
   37.4539,       550,
   37.5038,       557,
   37.5536,       508,
   37.6035,       546,
   37.6534,       521,
   37.7032,       549,
   37.7531,       573,
    37.803,       539,
   37.8529,       531,
   37.9027,       543,
   37.9526,       519,
   38.0025,       537,
   38.0523,       513,
   38.1022,       556,
   38.1521,       606,
   38.2019,       533,
   38.2518,       556,
   38.3017,       514,
   38.3515,       558,
   38.4014,       549,
   38.4513,       524,
   38.5011,       524,
    38.551,       482,
   38.6009,       482,
   38.6507,       500,
   38.7006,       508,
   38.7505,       511,
   38.8003,       537,
   38.8502,       477,
   38.9001,       495,
     38.95,       499,
   38.9998,       490,
   39.0497,       528,
   39.0996,       497,
   39.1494,       460,
   39.1993,       519,
   39.2492,       503,
    39.299,       473,
   39.3489,       487,
   39.3988,       477,
   39.4486,       465,
   39.4985,       520,
   39.5484,       503,
   39.5982,       490,
   39.6481,       499,
    39.698,       465,
   39.7478,       495,
   39.7977,       502,
   39.8476,       534,
   39.8975,       481,
   39.9473,       481,
   39.9972,       498,
   40.0471,       504,
   40.0969,       492,
   40.1468,       480,
   40.1967,       493,
   40.2465,       473,
   40.2964,       520,
   40.3463,       523,
   40.3961,       487,
    40.446,       527,
   40.4959,       497,
   40.5457,       553,
   40.5956,       536,
   40.6455,       537,
   40.6953,       513,
   40.7452,       525,
   40.7951,       550,
   40.8449,       501,
   40.8948,       514,
   40.9447,       556,
   40.9946,       515,
   41.0444,       523,
   41.0943,       524,
   41.1442,       544,
    41.194,       538,
   41.2439,       550,
   41.2938,       581,
   41.3436,       573,
   41.3935,       583,
   41.4434,       604,
   41.4932,       624,
   41.5431,       654,
    41.593,       614,
   41.6428,       656,
   41.6927,       631,
   41.7426,       683,
   41.7924,       732,
   41.8423,       745,
   41.8922,       830,
   41.9421,       940,
   41.9919,      1120,
   42.0418,      1251,
   42.0917,      1607,
   42.1415,      2098,
   42.1914,      2705,
   42.2413,      3859,
   42.2911,      5152,
    42.341,      6503,
   42.3909,      7834,
   42.4407,      8761,
   42.4906,      8295,
   42.5405,      7461,
   42.5903,      6019,
   42.6402,      4426,
   42.6901,      3136,
   42.7399,      2246,
   42.7898,      1759,
   42.8397,      1365,
   42.8895,      1112,
   42.9394,       939,
   42.9893,       846,
   43.0392,       799,
    43.089,       719,
   43.1389,       671,
   43.1888,       645,
   43.2386,       615,
   43.2885,       651,
   43.3384,       564,
   43.3882,       593,
   43.4381,       577,
    43.488,       543,
   43.5378,       548,
   43.5877,       572,
   43.6376,       504,
   43.6874,       532,
   43.7373,       545,
   43.7872,       515,
    43.837,       530,
   43.8869,       513,
   43.9368,       496,
   43.9867,       509,
   44.0365,       465,
   44.0864,       516,
   44.1363,       506,
   44.1861,       575,
    44.236,       858,
   44.2859,      1374,
   44.3357,      1246,
   44.3856,      1091,
   44.4355,       937,
   44.4853,       692,
   44.5352,       495,
   44.5851,       475,
   44.6349,       449,
   44.6848,       379,
   44.7347,       438,
   44.7845,       421,
   44.8344,       409,
   44.8843,       377,
   44.9341,       409,
    44.984,       402,
   45.0339,       390,
   45.0838,       375,
   45.1336,       396,
   45.1835,       394,
   45.2334,       389,
   45.2832,       370,
   45.3331,       383,
    45.383,       371,
   45.4328,       328,
   45.4827,       360,
   45.5326,       366,
   45.5824,       356,
   45.6323,       371,
   45.6822,       352,
    45.732,       365,
   45.7819,       331,
   45.8318,       287,
   45.8816,       372,
   45.9315,       352,
   45.9814,       314,
   46.0313,       313,
   46.0811,       338,
    46.131,       330,
   46.1809,       337,
   46.2307,       350,
   46.2806,       352,
   46.3305,       336,
   46.3803,       286,
   46.4302,       322,
   46.4801,       334,
   46.5299,       310,
   46.5798,       297,
   46.6297,       343,
   46.6795,       297,
   46.7294,       307,
   46.7793,       323,
   46.8291,       304,
